Song,Artist,Billboard100,URI
Everybody Everybody,Black Box,1,6wBMTv8yTiNh50fqTkT0JC
I Go to Extremes,Billy Joel,1,16LYB0chkPiblx33djiNTt
Whip Appeal,Babyface,1,4D13ulAZI1V7PG7Zg1Ar7r
Oh Girl,Paul Young,1,0YqhqbLNpfQetrwuLaVTiK
C'mon and Get My Love,D Mob,1,2M3YldsyQfOixYWqwagtse
(It's Just) The Way That You Love Me,Paula Abdul,1,0
We Can't Go Wrong,The Cover Girls,1,1DTLJp3baHKyTYZMWD4zgp
When I'm Back on My Feet Again,Michael Bolton,1,47SOobTLWvyZpUfpmuUARJ
Make You Sweat,Keith Sweat,1,3iI6xZkQSWGjWx5phFVLn2
This One's for the Children,New Kids on the Block,1,78bDGxqn2KF2VU1G3Kz6J0
What It Takes,Aerosmith,1,2fAYTT9kcUm8tnUrhD80sC
Forever,Kiss,1,2o4u19nlQWOGg5mLanT7Pg
Jerk Out,The Time,1,2QzLYgjE7zTj1lb6Wi1aPx
Just a Friend,Biz Markie,1,3yNVfRQlUPViUh8O2V9SQn
Whole Wide World,A'Me Lorain,1,0
Without You,Mötley Crüe,1,0R8Danl4L4Tq00OiYFygSM
Swing the Mood,Jive Bunny and the Mastermixers,1,3Aimpqxpvmz7jhJlNnEd5c
Thieves in the Temple,Prince,1,403oiKw757eJnbDKPSjhHV
Mentirosa,Mellow Man Ace,1,3P6fS71hWhZvOnnxQojJ0Z
Tic-Tac-Toe,Kyper,1,4WqIpnqW9EvBXlT4jJFa0M
(Everything I Do) I Do It for You,Bryan Adams,1,6eBK3edMW7bEzecF1eCezc
I Wanna Sex You Up,Color Me Badd,1,3lsse1FoSHnNXc6y0jHxvd
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1,7eheoW4hxrH51ww2QePVwF
Rush Rush,Paula Abdul,1,015qd1I4v00JIoK7yOUgKC
One More Try,Timmy T,1,2drQ6wg2hdl6RDslarifh8
Unbelievable,EMF,1,5VYTKiOnHw4iTrB9pG3yum
More Than Words,Extreme,1,1gVgkQFOKa8Wc1HYsJtPdH
I Like the Way (The Kissing Game),Hi-Five,1,3Bxh1eakGL3wMRiqEVzEJe
The First Time,Surface,1,4iqnWPNCt4hhZ96KhjlJKq
Baby Baby,Amy Grant,1,3IDsegNBHC4pjGCOMTQYlU
Motownphilly,Boyz II Men,1,4wDSLkTUIpRsn3UbCzW9wV
Because I Love You (The Postman Song),Stevie B,1,3OH9fyhypFU09jR6XL6rqM
Someday,Mariah Carey,1,6TSM5vkz0WzyZsNAKKYDcw
High Enough,Damn Yankees,1,5t5rCnsgRBtcKqTB7SbD1Q
From a Distance,Bette Midler,1,48eiLW57CqSmCYNZRM2J8M
All the Man That I Need,Whitney Houston,1,07M76e7IXxYdnC1BBiJxEX
"Right Here, Right Now",Jesus Jones,1,3fcGGP62sllcNEhuFJVYeC
I Adore Mi Amor,Color Me Badd,1,05R2lE5g9hnaSmxIrUl3C0
Love Will Never Do (Without You),Janet Jackson,1,1SkJ8HjZUZRPYT3R2rh5sA
Good Vibrations,Marky Mark and the Funky Bunch,1,5hWdgGVcfTeLPAiHM6EZG9
Justify My Love,Madonna,1,6BWRvw630R8z2vNMok6quI
Emotions,Mariah Carey,1,0cELvuwJW1acISUHYB6suj
Joyride,Roxette,1,3Skwc4sh1QHUGcWrFBFWSF
Romantic,Karyn White,1,1eDCizNe4EQMj7okkjIeXo
Hold You Tight,Tara Kemp,1,0otWaD7P1jqYsb0qSHNo6J
I Don't Wanna Cry,Mariah Carey,1,1hFtJ5rV3aAm58ErijHdFO
You're in Love,Wilson Phillips,1,5KNbCF0FpIWuPE8x6bhGgw
Every Heartbeat,Amy Grant,1,55lX3vm1G35mUpawXHK5Te
Sensitivity,Ralph Tresvant,1,3lRgzwd3g1TewI4zjgbh9V
Touch Me (All Night Long),Cathy Dennis,1,3KuWqa0X0Dk73sm7RKhtfV
I've Been Thinking About You,Londonbeat,1,02KLiEs31kxh1krQJezlTL
Do Anything,Natural Selection,1,5nNwxsg6vS3pKcLNcAvRWP
Losing My Religion,R.E.M.,1,31AOj9sFz2gM0O3hMARRBx
Coming Out of the Dark,Gloria Estefan,1,5x9MJycRilBm2SNavzt9yF
It Ain't Over 'til It's Over,Lenny Kravitz,1,6VnpKLtfNH4Dk09YSGPSyR
Here We Go,C+C Music Factory,1,7Aw400xYfxX0tDLC4dV7CI
Where Does My Heart Beat Now,Celine Dion,1,4lGpGfDXuXmUfdqq46srPE
Summertime,DJ Jazzy Jeff & The Fresh Prince,1,20XdEFyaUR9C7aDIdq2OAd
Wind of Change,Scorpions,1,3ovjw5HZZv43SxTwApooCM
P.A.S.S.I.O.N.,Rythm Syndicate,1,0
The Promise of a New Day,Paula Abdul,1,5m8xVZhlM7E2mL9uuxZpF6
I'm Your Baby Tonight,Whitney Houston,1,3SmPl0CGxvvkQCrTv7edEE
Love of a Lifetime,FireHouse,1,2kDH08boXJyhKMl5hnZbrE
Fading Like a Flower (Every Time You Leave),Roxette,1,7qSd3WHSPUtmt6c36pwJaY
This House,Tracie Spencer,1,10JIQ4VbdRMlqvSJGvi7El
Hole Hearted,Extreme,1,1cItNpcJskTVETprljc7HV
Power of Love/Love Power,Luther Vandross,1,6ep87j7rt6j8Fok55N9NOs
Impulsive,Wilson Phillips,1,2lxfnTyWxW381PXDm9Mg77
Love Is a Wonderful Thing,Michael Bolton,1,2LCIRBYUBMFy9hL81qthi1
Rhythm of My Heart,Rod Stewart,1,1y0c5S2m1iqTyH6uvC2WHh
Things That Make You Go Hmmm...,C+C Music Factory,1,4QWU4b9viti7aUefIHrccZ
I Touch Myself,Divinyls,1,6oNvmplQGUkmAh441Teows
Tom's Diner,DNA,1,4QtScYyh6Yxio27udYPhh0
Iesha,Another Bad Creation,1,4PWaeUVCHIVbXlpXEuIcvR
Something to Talk About,Bonnie Raitt,1,6Ceejf3zBXvAhIY9DbP1Pr
After the Rain,Nelson,1,3VWGHiQO7fArciqoKB2DSx
Play That Funky Music,Vanilla Ice,1,1Ezs8eYxuZjhlgyoI1Bo76
Temptation,Corina,1,6WCJyL4KetAqEZYhRq5S3f
Can't Stop This Thing We Started,Bryan Adams,1,753VOnELPOptUFMm7H10Vc
I Can't Wait Another Minute,Hi-Five,1,1CeGBbkJeKPojRmlo2gIwq
3 a.m. Eternal,The KLF,1,1tI36YWFNZuDJa033aMVSl
"Time, Love and Tenderness",Michael Bolton,1,3efqNhyZjnIX2Pnu4Jx8dq
Sadeness (Part I),Enigma,1,01ZcGaInwbGQ851SwRKnNE
Around the Way Girl,LL Cool J,1,4Qxv2L4JICAWLFrBV6QeH8
I'll Be There,The Escape Club,1,5RdhBLmB4DyFHLglRrfx63
Cream,Prince and The New Power Generation,1,5vz2J2kP3vV7mZE9UxnFcG
Now That We Found Love,Heavy D & the Boyz,1,1KONmY3enP3r3nIPQidWAy
Show Me the Way,Styx,1,2upjcGvuiTCGSaGPZZ2dtD
Love Takes Time,Mariah Carey,1,48l7PNpT2fBoT4cdLW6EzP
Cry for Help,Rick Astley,1,02mYS2yrqvRj5Yx8kexNWN
The Way You Do the Things You Do,UB40,1,42HaJ7QlInzQ5vHKWb5Ixa
Here I Am (Come and Take Me),UB40,1,6YR2MkzMhojHBmW1TbXtZO
Signs,Tesla,1,6oYjESDcQAQrRh4SKMH7sW
Too Many Walls,Cathy Dennis,1,0
Crazy,Seal,1,6Vz7vzOpCwKeSQlfViibuY
I'll Give All My Love to You,Keith Sweat,1,4L9VA69sfZKK5HAs5zP22I
Place in this World,Michael W. Smith,1,0PKTBeN87JYJ1mRzrq5Aog
Something to Believe In,Poison,1,7pUYjnFTXMs0mFWsE9epqV
Wicked Game,Chris Isaak,1,390AWnOn2rfe9FzQjYmxIH
Get Here,Oleta Adams,1,1KT3ndndHOGXePgC4o0Jq9
Round and Round,Tevin Campbell,1,7mjTuZkE1XkJnco5bVsZCf
Silent Lucidity,Queensrÿche,1,6OSyCAmXT4Gkd3OQ2aPOaF
I'm Not In Love,Will to Power,1,5Wiin0U2QVAUSz4ChP9lXk
Piece of My Heart,Tara Kemp,1,1jRAg7uqdsm5VYKKeEVKVd
Real Real Real,Jesus Jones,1,5gbPzqSC9MFfkeM3L06Imy
Everybody Plays the Fool,Aaron Neville,1,6VthESmOYTaHBh1g0pacba
Just Another Dream,Cathy Dennis,1,0
Strike It Up,Black Box,1,742hY2twqAjwNYnKkQdilj
Rico Suave,Gerardo,1,6FfdQJ9HJcJAvsPVIyoGZ5
Disappear,INXS,1,02mQcDoU5cn15U6tqZmL4e
Groove Is in the Heart,Deee-Lite,1,2UVLuddklEVak5PXgC7baA
All This Time,Sting,1,2cu8WtQZdxGe3lbetlzeNe
The One and Only,Chesney Hawkes,1,69Tyiih00ZZKboHFnXp0VF
O.P.P.,Naughty by Nature,1,3voxsfqnGr9V74jkkzPhXC
Freedom 90,George Michael,1,3tyTt5pEWblt96j1HsXiV5
I Saw Red,Warrant,1,0bhGTfpajLMjcYGMwWHy9p
Miles Away,Winger,1,3Bzh1AtiViTIaZV6yqySZH
Do You Want Me,Salt-n-Pepa,1,1l425VN8vr5Ah2ilFAavYd
The Motown Song,Rod Stewart,1,53Ttk5sOEtlJvOZmv16aQn
Shiny Happy People,R.E.M.,1,1v2zyAJrChw5JnfafSkwkJ
End of the Road,Boyz II Men,1,3l3xTXsUXeWlkPqzMs7mPD
Baby Got Back,Sir Mix-a-Lot,1,1SAkL1mYNJlaqnBQxVZrRl
Jump,Kris Kross,1,27AHAtAirQapVldIm4c9ZX
Save the Best for Last,Vanessa Williams,1,7okbmgA8lRBGl5limZ7LFM
Baby-Baby-Baby,TLC,1,1zTuB57LYZa7xu7KUH8kF0
Tears in Heaven,Eric Clapton,1,612VcBshQcy4mpB2utGc3H
My Lovin' (You're Never Gonna Get It),En Vogue,1,3R97rNX7JnmshCWBwOSFet
Under the Bridge,Red Hot Chili Peppers,1,3d9DChrdc6BOeFsbrZ3Is0
All 4 Love,Color Me Badd,1,4XmsMIMjvDIFEjeY3ycMzW
Just Another Day,Jon Secada,1,5AoBNJQDXXEnIJGjJjZu3y
I Love Your Smile,Shanice,1,5BE3DOk0C26VCMxxT84bec
To Be with You,Mr. Big,1,7hqgfHdS9fVn9KkjftiQpC
I'm Too Sexy,Right Said Fred,1,2WElktskrNJEwgpp5Vouxk
Black or White,Michael Jackson,1,7EsjkelQuoUlJXEw7SeVV4
Achy Breaky Heart,Billy Ray Cyrus,1,2EoIt9vdgFRNW03u5IvFsQ
I'll Be There,Mariah Carey,1,5jI2ApByK8KJeWVU39oRO4
November Rain,Guns N' Roses,1,3YRCqOhFifThpSRFJ1VWFM
Life Is a Highway,Tom Cochrane,1,0hKF8N8aflF1uDzEEnPr2j
Remember the Time,Michael Jackson,1,4jnFqNWeJCeCRHc4HCdxfd
Finally,CeCe Peniston,1,0uqvSVhGgQTIdj9G51vhvv
This Used to Be My Playground,Madonna,1,637V2ymBt4Ljlbz4EmRys8
Sometimes Love Just Ain't Enough,Patty Smyth and Don Henley,1,3CUV8wsoTTKznGpEovrnZw
Can't Let Go,Mariah Carey,1,0ikbcCJIJaY9sKEivAXJ4I
Jump Around,House of Pain,1,3TZwjdclvWt7iPJUnMpgcs
Diamonds and Pearls,Prince and The New Power Generation,1,7IoLw1bECmOSWcm2u9SmRH
Don't Let the Sun Go Down on Me,George Michael and Elton John,1,0q90594hk25yo0xZmBTqCd
Masterpiece,Atlantic Starr,1,2sm3HfTCt3O6R6qUc5f6xb
If You Asked Me To,Celine Dion,1,6vubJBI43jIr557lvNbzlH
Giving Him Something He Can Feel,En Vogue,1,4htbAEZWr53J08x3dUv00W
Live and Learn,Joe Public,1,4ScNzmyZZId9kGK9iXuqjn
Come and Talk to Me,Jodeci,1,5xE7sFTlv2yrG9mmhDSpdq
Smells Like Teen Spirit,Nirvana,1,5ghIJDpPoe3CfHMGu71E6T
Humpin' Around,Bobby Brown,1,36tOpYpo1omPwIab8ebEkW
Damn I Wish I Was Your Lover,Sophie B. Hawkins,1,0RmEn2jcbyrLV4em3bnDZJ
Tell Me What You Want Me to Do,Tevin Campbell,1,0IhHkW1fnUSMEcLSHmKhrJ
Ain't 2 Proud 2 Beg,TLC,1,5kVSEpbyuLIVuPM1i2KivC
It's So Hard to Say Goodbye to Yesterday,Boyz II Men,1,264JdkdtNRAGL4M4PnDYHC
Move This,Technotronic,1,0PAGmTNpVASXq2tegMxSOs
Bohemian Rhapsody,Queen,1,7tFiyTwD0nx5a1eklYtX2J
Tennessee,Arrested Development,1,1aaoIHFT9UqhlaEwLAhh00
The Best Things in Life Are Free,Luther Vandross and Janet Jackson,1,5nvYnwbX1Gb60mpX7m8P01
Make It Happen,Mariah Carey,1,5UVcgBRW78CCcKCopEGAST
The One,Elton John,1,2stzPKoUdtHcA4LlEu2ayw
Set Adrift on Memory Bliss,P.M. Dawn,1,3rcNGUOJ0mPOUcAFUlEyT3
Stay,Shakespears Sister,1,6Mcoqi1iK28djC2EClVwDj
2 Legit 2 Quit,Hammer,1,4ZnKSrukEcPuMxGrcZEEh1
Please Don't Go,KWS,1,0
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,1,18sytW2s53Of6NVudQyUlH
Wishing on a Star,The Cover Girls,1,7EE5va6hu88TSdtbXrEl0J
She's Playing Hard to Get,Hi-Five,1,3xRbymJj98leHL7K8Y94WS
I'd Die Without You,P.M. Dawn,1,6FBlxkA9VKafooUNAi4W3p
Good for Me,Amy Grant,1,2GwDKcTJlvoRDaJXkA7ULJ
All I Want,Toad the Wet Sprocket,1,2GHYJ0dhVds3PODKnTdiGE
When a Man Loves a Woman,Michael Bolton,1,3ascnOSOR5MX901ylGuhcl
I Can't Dance,Genesis,1,0No5Hr1LxZjJHGsQSTy2bm
Hazard,Richard Marx,1,1ntKYuqLlmV3sTZoNyeHhM
Mysterious Ways,U2,1,50JK22El2PTIzZBU2liLDI
Too Funky,George Michael,1,4KjPPpRbthW8dSNdisR2Wi
How Do You Talk to an Angel,The Heights,1,2QVHmiFTjFsHyxONRdbkcq
One,U2,1,3G69vJMWsX6ZohTykad2AU
Keep on Walkin',CeCe Peniston,1,5Rg4i5SEzUXAiztaIwG3Qd
Hold on My Heart,Genesis,1,0qbhFj4bVrguIZViOJOs36
The Way I Feel About You,Karyn White,1,5LLRxnEQAbnQNzLK0mAC2R
Beauty and the Beast,Celine Dion and Peabo Bryson,1,7B3UAPLYAbwXVgbHSKEaTw
Warm It Up,Kris Kross,1,4Gv46S98aguDKuKTrbRBus
In the Closet,Michael Jackson,1,5Fy40smNxk0j5OpFMtvfaU
People Everyday,Arrested Development,1,5thts3213xwSroRd11fv5A
No Son of Mine,Genesis,1,6YsCavQbx3YITYsnIKvF3j
Wildside,Marky Mark and the Funky Bunch,1,2U25Ne3teRZLF1wsRnjcfW
Do I Have to Say the Words?,Bryan Adams,1,2jstyP5wqWuPfH8GCRUrwr
Friday I'm in Love,The Cure,1,263aNAQCeFSWipk896byo6
Everything About You,Ugly Kid Joe,1,1O2ACd0zg4GYgQRhLBGYDV
Blowing Kisses in the Wind,Paula Abdul,1,1uhsVQi7IADIxZXN1xJnk5
Thought I'd Died and Gone to Heaven,Bryan Adams,1,68Qv4S2uJ0nLvdtWPrlOVt
Rhythm Is a Dancer,Snap!,1,1IWzfq3sLedGQ3fb2hAMBA
Addams Groove,Hammer,1,46jqxETXUwgLRsoMGuwFLa
