,Song,Artist,Billboard100,URI
77,Love Shack,The B-52s,1,4W4wYHtsrgDiivRASVOINL
78,All or Nothing,Milli Vanilli,1,7sS1P9f8SDyl03hqC1etWU
79,Romeo,Dino,1,7xez8LRby1hw2nBvse9E9e
80,Everybody Everybody,Black Box,1,6wBMTv8yTiNh50fqTkT0JC
81,I Go to Extremes,Billy Joel,1,16LYB0chkPiblx33djiNTt
82,Whip Appeal,Babyface,1,4D13ulAZI1V7PG7Zg1Ar7r
83,Oh Girl,Paul Young,1,0YqhqbLNpfQetrwuLaVTiK
84,C'mon and Get My Love,D Mob,1,2M3YldsyQfOixYWqwagtse
85,(It's Just) The Way That You Love Me,Paula Abdul,1,0
86,We Can't Go Wrong,The Cover Girls,1,1DTLJp3baHKyTYZMWD4zgp
87,When I'm Back on My Feet Again,Michael Bolton,1,47SOobTLWvyZpUfpmuUARJ
88,Make You Sweat,Keith Sweat,1,3iI6xZkQSWGjWx5phFVLn2
89,This One's for the Children,New Kids on the Block,1,78bDGxqn2KF2VU1G3Kz6J0
90,What It Takes,Aerosmith,1,2fAYTT9kcUm8tnUrhD80sC
91,Forever,Kiss,1,2o4u19nlQWOGg5mLanT7Pg
92,Jerk Out,The Time,1,2QzLYgjE7zTj1lb6Wi1aPx
93,Just a Friend,Biz Markie,1,3yNVfRQlUPViUh8O2V9SQn
94,Whole Wide World,A'Me Lorain,1,0
95,Without You,Mötley Crüe,1,0R8Danl4L4Tq00OiYFygSM
96,Swing the Mood,Jive Bunny and the Mastermixers,1,3Aimpqxpvmz7jhJlNnEd5c
97,Thieves in the Temple,Prince,1,403oiKw757eJnbDKPSjhHV
98,Mentirosa,Mellow Man Ace,1,3P6fS71hWhZvOnnxQojJ0Z
99,Tic-Tac-Toe,Kyper,1,4WqIpnqW9EvBXlT4jJFa0M
100,(Everything I Do) I Do It for You,Bryan Adams,1,6eBK3edMW7bEzecF1eCezc
101,I Wanna Sex You Up,Color Me Badd,1,3lsse1FoSHnNXc6y0jHxvd
102,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1,7eheoW4hxrH51ww2QePVwF
103,Rush Rush,Paula Abdul,1,015qd1I4v00JIoK7yOUgKC
104,One More Try,Timmy T,1,2drQ6wg2hdl6RDslarifh8
105,Unbelievable,EMF,1,5VYTKiOnHw4iTrB9pG3yum
106,More Than Words,Extreme,1,1gVgkQFOKa8Wc1HYsJtPdH
107,I Like the Way (The Kissing Game),Hi-Five,1,3Bxh1eakGL3wMRiqEVzEJe
108,The First Time,Surface,1,4iqnWPNCt4hhZ96KhjlJKq
109,Baby Baby,Amy Grant,1,3IDsegNBHC4pjGCOMTQYlU
110,Motownphilly,Boyz II Men,1,4wDSLkTUIpRsn3UbCzW9wV
111,Because I Love You (The Postman Song),Stevie B,1,3OH9fyhypFU09jR6XL6rqM
112,Someday,Mariah Carey,1,6TSM5vkz0WzyZsNAKKYDcw
113,High Enough,Damn Yankees,1,5t5rCnsgRBtcKqTB7SbD1Q
114,From a Distance,Bette Midler,1,48eiLW57CqSmCYNZRM2J8M
115,All the Man That I Need,Whitney Houston,1,07M76e7IXxYdnC1BBiJxEX
116,"Right Here, Right Now",Jesus Jones,1,3fcGGP62sllcNEhuFJVYeC
117,I Adore Mi Amor,Color Me Badd,1,05R2lE5g9hnaSmxIrUl3C0
118,Love Will Never Do (Without You),Janet Jackson,1,1SkJ8HjZUZRPYT3R2rh5sA
119,Good Vibrations,Marky Mark and the Funky Bunch,1,5hWdgGVcfTeLPAiHM6EZG9
120,Justify My Love,Madonna,1,6BWRvw630R8z2vNMok6quI
121,Emotions,Mariah Carey,1,0cELvuwJW1acISUHYB6suj
122,Joyride,Roxette,1,3Skwc4sh1QHUGcWrFBFWSF
123,Romantic,Karyn White,1,1eDCizNe4EQMj7okkjIeXo
124,Hold You Tight,Tara Kemp,1,0otWaD7P1jqYsb0qSHNo6J
125,I Don't Wanna Cry,Mariah Carey,1,1hFtJ5rV3aAm58ErijHdFO
126,You're in Love,Wilson Phillips,1,5KNbCF0FpIWuPE8x6bhGgw
127,Every Heartbeat,Amy Grant,1,55lX3vm1G35mUpawXHK5Te
128,Sensitivity,Ralph Tresvant,1,3lRgzwd3g1TewI4zjgbh9V
129,Touch Me (All Night Long),Cathy Dennis,1,3KuWqa0X0Dk73sm7RKhtfV
130,I've Been Thinking About You,Londonbeat,1,02KLiEs31kxh1krQJezlTL
131,Do Anything,Natural Selection,1,5nNwxsg6vS3pKcLNcAvRWP
132,Losing My Religion,R.E.M.,1,31AOj9sFz2gM0O3hMARRBx
133,Coming Out of the Dark,Gloria Estefan,1,5x9MJycRilBm2SNavzt9yF
134,It Ain't Over 'til It's Over,Lenny Kravitz,1,6VnpKLtfNH4Dk09YSGPSyR
135,Here We Go,C+C Music Factory,1,7Aw400xYfxX0tDLC4dV7CI
136,Where Does My Heart Beat Now,Celine Dion,1,4lGpGfDXuXmUfdqq46srPE
137,Summertime,DJ Jazzy Jeff & The Fresh Prince,1,20XdEFyaUR9C7aDIdq2OAd
138,Wind of Change,Scorpions,1,3ovjw5HZZv43SxTwApooCM
139,P.A.S.S.I.O.N.,Rythm Syndicate,1,0
140,The Promise of a New Day,Paula Abdul,1,5m8xVZhlM7E2mL9uuxZpF6
141,I'm Your Baby Tonight,Whitney Houston,1,3SmPl0CGxvvkQCrTv7edEE
142,Love of a Lifetime,FireHouse,1,2kDH08boXJyhKMl5hnZbrE
143,Fading Like a Flower (Every Time You Leave),Roxette,1,7qSd3WHSPUtmt6c36pwJaY
144,This House,Tracie Spencer,1,10JIQ4VbdRMlqvSJGvi7El
145,Hole Hearted,Extreme,1,1cItNpcJskTVETprljc7HV
146,Power of Love/Love Power,Luther Vandross,1,6ep87j7rt6j8Fok55N9NOs
147,Impulsive,Wilson Phillips,1,2lxfnTyWxW381PXDm9Mg77
148,Love Is a Wonderful Thing,Michael Bolton,1,2LCIRBYUBMFy9hL81qthi1
149,Rhythm of My Heart,Rod Stewart,1,1y0c5S2m1iqTyH6uvC2WHh
150,Things That Make You Go Hmmm...,C+C Music Factory,1,4QWU4b9viti7aUefIHrccZ
151,I Touch Myself,Divinyls,1,6oNvmplQGUkmAh441Teows
152,Tom's Diner,DNA,1,4QtScYyh6Yxio27udYPhh0
153,Iesha,Another Bad Creation,1,4PWaeUVCHIVbXlpXEuIcvR
154,Something to Talk About,Bonnie Raitt,1,6Ceejf3zBXvAhIY9DbP1Pr
155,After the Rain,Nelson,1,3VWGHiQO7fArciqoKB2DSx
156,Play That Funky Music,Vanilla Ice,1,1Ezs8eYxuZjhlgyoI1Bo76
157,Temptation,Corina,1,6WCJyL4KetAqEZYhRq5S3f
158,Can't Stop This Thing We Started,Bryan Adams,1,753VOnELPOptUFMm7H10Vc
159,I Can't Wait Another Minute,Hi-Five,1,1CeGBbkJeKPojRmlo2gIwq
160,3 a.m. Eternal,The KLF,1,1tI36YWFNZuDJa033aMVSl
161,"Time, Love and Tenderness",Michael Bolton,1,3efqNhyZjnIX2Pnu4Jx8dq
162,Sadeness (Part I),Enigma,1,01ZcGaInwbGQ851SwRKnNE
163,Around the Way Girl,LL Cool J,1,4Qxv2L4JICAWLFrBV6QeH8
164,I'll Be There,The Escape Club,1,5RdhBLmB4DyFHLglRrfx63
165,Cream,Prince and The New Power Generation,1,5vz2J2kP3vV7mZE9UxnFcG
166,Now That We Found Love,Heavy D & the Boyz,1,1KONmY3enP3r3nIPQidWAy
167,Show Me the Way,Styx,1,2upjcGvuiTCGSaGPZZ2dtD
169,Cry for Help,Rick Astley,1,02mYS2yrqvRj5Yx8kexNWN
170,The Way You Do the Things You Do,UB40,1,42HaJ7QlInzQ5vHKWb5Ixa
171,Here I Am (Come and Take Me),UB40,1,6YR2MkzMhojHBmW1TbXtZO
172,Signs,Tesla,1,6oYjESDcQAQrRh4SKMH7sW
173,Too Many Walls,Cathy Dennis,1,0
174,Crazy,Seal,1,6Vz7vzOpCwKeSQlfViibuY
175,I'll Give All My Love to You,Keith Sweat,1,4L9VA69sfZKK5HAs5zP22I
176,Place in this World,Michael W. Smith,1,0PKTBeN87JYJ1mRzrq5Aog
177,Something to Believe In,Poison,1,7pUYjnFTXMs0mFWsE9epqV
178,Wicked Game,Chris Isaak,1,390AWnOn2rfe9FzQjYmxIH
179,Get Here,Oleta Adams,1,1KT3ndndHOGXePgC4o0Jq9
180,Round and Round,Tevin Campbell,1,7mjTuZkE1XkJnco5bVsZCf
181,Silent Lucidity,Queensrÿche,1,6OSyCAmXT4Gkd3OQ2aPOaF
182,I'm Not In Love,Will to Power,1,5Wiin0U2QVAUSz4ChP9lXk
183,Piece of My Heart,Tara Kemp,1,1jRAg7uqdsm5VYKKeEVKVd
184,Real Real Real,Jesus Jones,1,5gbPzqSC9MFfkeM3L06Imy
185,Everybody Plays the Fool,Aaron Neville,1,6VthESmOYTaHBh1g0pacba
186,Just Another Dream,Cathy Dennis,1,0
187,Strike It Up,Black Box,1,742hY2twqAjwNYnKkQdilj
188,Rico Suave,Gerardo,1,6FfdQJ9HJcJAvsPVIyoGZ5
189,Disappear,INXS,1,02mQcDoU5cn15U6tqZmL4e
190,Groove Is in the Heart,Deee-Lite,1,2UVLuddklEVak5PXgC7baA
191,All This Time,Sting,1,2cu8WtQZdxGe3lbetlzeNe
192,The One and Only,Chesney Hawkes,1,69Tyiih00ZZKboHFnXp0VF
193,O.P.P.,Naughty by Nature,1,3voxsfqnGr9V74jkkzPhXC
194,Freedom 90,George Michael,1,3tyTt5pEWblt96j1HsXiV5
195,I Saw Red,Warrant,1,0bhGTfpajLMjcYGMwWHy9p
196,Miles Away,Winger,1,3Bzh1AtiViTIaZV6yqySZH
197,Do You Want Me,Salt-n-Pepa,1,1l425VN8vr5Ah2ilFAavYd
198,The Motown Song,Rod Stewart,1,53Ttk5sOEtlJvOZmv16aQn
199,Shiny Happy People,R.E.M.,1,1v2zyAJrChw5JnfafSkwkJ
200,End of the Road,Boyz II Men,1,3l3xTXsUXeWlkPqzMs7mPD
201,Baby Got Back,Sir Mix-a-Lot,1,1SAkL1mYNJlaqnBQxVZrRl
202,Jump,Kris Kross,1,27AHAtAirQapVldIm4c9ZX
203,Save the Best for Last,Vanessa Williams,1,7okbmgA8lRBGl5limZ7LFM
204,Baby-Baby-Baby,TLC,1,1zTuB57LYZa7xu7KUH8kF0
205,Tears in Heaven,Eric Clapton,1,612VcBshQcy4mpB2utGc3H
206,My Lovin' (You're Never Gonna Get It),En Vogue,1,3R97rNX7JnmshCWBwOSFet
207,Under the Bridge,Red Hot Chili Peppers,1,3d9DChrdc6BOeFsbrZ3Is0
208,All 4 Love,Color Me Badd,1,4XmsMIMjvDIFEjeY3ycMzW
209,Just Another Day,Jon Secada,1,5AoBNJQDXXEnIJGjJjZu3y
210,I Love Your Smile,Shanice,1,5BE3DOk0C26VCMxxT84bec
211,To Be with You,Mr. Big,1,7hqgfHdS9fVn9KkjftiQpC
212,I'm Too Sexy,Right Said Fred,1,2WElktskrNJEwgpp5Vouxk
213,Black or White,Michael Jackson,1,7EsjkelQuoUlJXEw7SeVV4
214,Achy Breaky Heart,Billy Ray Cyrus,1,2EoIt9vdgFRNW03u5IvFsQ
216,November Rain,Guns N' Roses,1,3YRCqOhFifThpSRFJ1VWFM
217,Life Is a Highway,Tom Cochrane,1,0hKF8N8aflF1uDzEEnPr2j
218,Remember the Time,Michael Jackson,1,4jnFqNWeJCeCRHc4HCdxfd
219,Finally,CeCe Peniston,1,0uqvSVhGgQTIdj9G51vhvv
220,This Used to Be My Playground,Madonna,1,637V2ymBt4Ljlbz4EmRys8
221,Sometimes Love Just Ain't Enough,Patty Smyth and Don Henley,1,3CUV8wsoTTKznGpEovrnZw
222,Can't Let Go,Mariah Carey,1,0ikbcCJIJaY9sKEivAXJ4I
223,Jump Around,House of Pain,1,3TZwjdclvWt7iPJUnMpgcs
224,Diamonds and Pearls,Prince and The New Power Generation,1,7IoLw1bECmOSWcm2u9SmRH
225,Don't Let the Sun Go Down on Me,George Michael and Elton John,1,0q90594hk25yo0xZmBTqCd
226,Masterpiece,Atlantic Starr,1,2sm3HfTCt3O6R6qUc5f6xb
227,If You Asked Me To,Celine Dion,1,6vubJBI43jIr557lvNbzlH
228,Giving Him Something He Can Feel,En Vogue,1,4htbAEZWr53J08x3dUv00W
229,Live and Learn,Joe Public,1,4ScNzmyZZId9kGK9iXuqjn
230,Come and Talk to Me,Jodeci,1,5xE7sFTlv2yrG9mmhDSpdq
231,Smells Like Teen Spirit,Nirvana,1,5ghIJDpPoe3CfHMGu71E6T
232,Humpin' Around,Bobby Brown,1,36tOpYpo1omPwIab8ebEkW
233,Damn I Wish I Was Your Lover,Sophie B. Hawkins,1,0RmEn2jcbyrLV4em3bnDZJ
234,Tell Me What You Want Me to Do,Tevin Campbell,1,0IhHkW1fnUSMEcLSHmKhrJ
235,Ain't 2 Proud 2 Beg,TLC,1,5kVSEpbyuLIVuPM1i2KivC
236,It's So Hard to Say Goodbye to Yesterday,Boyz II Men,1,264JdkdtNRAGL4M4PnDYHC
237,Move This,Technotronic,1,0PAGmTNpVASXq2tegMxSOs
238,Bohemian Rhapsody,Queen,1,7tFiyTwD0nx5a1eklYtX2J
239,Tennessee,Arrested Development,1,1aaoIHFT9UqhlaEwLAhh00
240,The Best Things in Life Are Free,Luther Vandross and Janet Jackson,1,5nvYnwbX1Gb60mpX7m8P01
241,Make It Happen,Mariah Carey,1,5UVcgBRW78CCcKCopEGAST
242,The One,Elton John,1,2stzPKoUdtHcA4LlEu2ayw
243,Set Adrift on Memory Bliss,P.M. Dawn,1,3rcNGUOJ0mPOUcAFUlEyT3
244,Stay,Shakespears Sister,1,6Mcoqi1iK28djC2EClVwDj
245,2 Legit 2 Quit,Hammer,1,4ZnKSrukEcPuMxGrcZEEh1
246,Please Don't Go,KWS,1,0
247,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,1,18sytW2s53Of6NVudQyUlH
248,Wishing on a Star,The Cover Girls,1,7EE5va6hu88TSdtbXrEl0J
249,She's Playing Hard to Get,Hi-Five,1,3xRbymJj98leHL7K8Y94WS
250,I'd Die Without You,P.M. Dawn,1,6FBlxkA9VKafooUNAi4W3p
251,Good for Me,Amy Grant,1,2GwDKcTJlvoRDaJXkA7ULJ
252,All I Want,Toad the Wet Sprocket,1,2GHYJ0dhVds3PODKnTdiGE
253,When a Man Loves a Woman,Michael Bolton,1,3ascnOSOR5MX901ylGuhcl
254,I Can't Dance,Genesis,1,0No5Hr1LxZjJHGsQSTy2bm
255,Hazard,Richard Marx,1,1ntKYuqLlmV3sTZoNyeHhM
256,Mysterious Ways,U2,1,50JK22El2PTIzZBU2liLDI
257,Too Funky,George Michael,1,4KjPPpRbthW8dSNdisR2Wi
258,How Do You Talk to an Angel,The Heights,1,2QVHmiFTjFsHyxONRdbkcq
259,One,U2,1,3G69vJMWsX6ZohTykad2AU
260,Keep on Walkin',CeCe Peniston,1,5Rg4i5SEzUXAiztaIwG3Qd
261,Hold on My Heart,Genesis,1,0qbhFj4bVrguIZViOJOs36
262,The Way I Feel About You,Karyn White,1,5LLRxnEQAbnQNzLK0mAC2R
263,Beauty and the Beast,Celine Dion and Peabo Bryson,1,7B3UAPLYAbwXVgbHSKEaTw
264,Warm It Up,Kris Kross,1,4Gv46S98aguDKuKTrbRBus
265,In the Closet,Michael Jackson,1,5Fy40smNxk0j5OpFMtvfaU
266,People Everyday,Arrested Development,1,5thts3213xwSroRd11fv5A
267,No Son of Mine,Genesis,1,6YsCavQbx3YITYsnIKvF3j
268,Wildside,Marky Mark and the Funky Bunch,1,2U25Ne3teRZLF1wsRnjcfW
269,Do I Have to Say the Words?,Bryan Adams,1,2jstyP5wqWuPfH8GCRUrwr
270,Friday I'm in Love,The Cure,1,263aNAQCeFSWipk896byo6
271,Everything About You,Ugly Kid Joe,1,1O2ACd0zg4GYgQRhLBGYDV
272,Blowing Kisses in the Wind,Paula Abdul,1,1uhsVQi7IADIxZXN1xJnk5
273,Thought I'd Died and Gone to Heaven,Bryan Adams,1,68Qv4S2uJ0nLvdtWPrlOVt
274,Rhythm Is a Dancer,Snap!,1,1IWzfq3sLedGQ3fb2hAMBA
275,Addams Groove,Hammer,1,46jqxETXUwgLRsoMGuwFLa
276,Missing You Now,Michael Bolton,1,7ho5FKdNqmmbCpXYcyDH8c
277,Back to the Hotel,N2Deep,1,47ukoPgAExwBp64F2gQlv2
278,Everything Changes,Kathy Troccoli,1,7rJXvz9zXQr9YYdYzeXe7U
279,Have You Ever Needed Someone So Bad,Def Leppard,1,0nf9RjoFTcOzTIXtmzhRuH
280,Take This Heart,Richard Marx,1,1aHCn2d62m0Gghu0nLeaw3
281,When I Look Into Your Eyes,FireHouse,1,1yJWqYYDQge60nZKdLyiZU
282,I Wanna Love You,Jade,1,2BDRHFw5170t2kRHD3uEMU
283,Uhh Ahh,Boyz II Men,1,0MrD47wtvAu6igsy8vqUzN
284,Real Love,Mary J. Blige,1,3XG801WWhqC753dekEBkMt
285,Justified and Ancient,The KLF,1,2T5iu3Qx1hVQiBUz79IwOG
286,Slow Motion,Color Me Badd,1,03GzYByXsXHcoEAxjsWv9G
287,What About Your Friends,TLC,1,63PIgPkDf3rswlU4ZWCYAM
288,Thinkin' Back,Color Me Badd,1,5OI4XbIHmAGDNnmP01sD82
289,Would I Lie to You?,Charles & Eddie,1,21MLFi0ISlqDBp7DQHPi7p
290,That's What Love Is For,Amy Grant,1,367dmPOxuMP8FsrZHenNnq
291,Keep Coming Back,Richard Marx,1,0GMFC1osUTm2qKycgHdwWD
292,Free Your Mind,En Vogue,1,2vG1yrWSMiL6egg6w4e9ma
293,Keep It Comin',Keith Sweat,1,5DcIkTnThkzh1fTnF6juFx
294,Just Take My Heart,Mr. Big,1,3oNACbAyQV0M1omkIK6Dyq
295,I Will Remember You,Amy Grant,1,76crWZqaiFzlTPGzNtT4w1
296,We Got a Love Thang,CeCe Peniston,1,1Z1BvDuDYOaQaQtoeCDSuA
297,Let's Get Rocked,Def Leppard,1,0LoH6lFQLNscy3RyljAewK
298,They Want EFX,Das EFX,1,3HCzj965m8Fz2E8wZkir6q
299,I Can't Make You Love Me,Bonnie Raitt,1,69uJi5QsBtqlYkGURTBli8
300,I Will Always Love You,Whitney Houston,1,4eHbdreAnSOrDDsFfc4Fpm
301,Whoomp! (There It Is),Tag Team,1,4EEGHbMUyS07PNVXSGB7Qg
302,Can't Help Falling in Love,UB40,1,7ojJ4XvqBhBcteM0zjMebT
303,That's the Way Love Goes,Janet Jackson,1,29rQJydAlO0uMyWvRIZxQg
