,ID,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,lyrics,explicit,Genre,Year
87,203,bailando - spanish version,enrique iglesias,0,32lm3769IRfcnrQV11LO4E,0.723,0.777,7.0,-3.503,1.0,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,243413.0,4.0,"Enrique Iglesias
Gente de Zona
Descemer

Yo te miro y se me corta la respiración
Cuando tú me miras, se me sube el corazón
(Me palpita lento el corazón)
Y en un silencio, tu mirada dice mil palabras
La noche en la que te suplico que no salga el sol

Bailando, bailando, bailando, bailando
Tu cuerpo y el mío llenando el vacío
Subiendo y bajando (subiendo y bajando)
Bailando, bailando, bailando, bailando
Ese fuego por dentro me está enloqueciendo
Me va saturando

Con tu física y tu química, también tu anatomía
La cerveza y el tequila, y tu boca con la mía
Ya no puedo más (ya no puedo más)
Ya no puedo más (ya no puedo más)

Con esta melodía, tu color, tu fantasía
Con tu filosofía mi cabeza está vacía
Y ya no puedo más (ya no puedo más)
Ya no puedo más (ya no puedo más)

Yo quiero estar contigo
...

",0.0,pop,2014
88,204,danza kuduro,don omar,0,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0.0,-4.89,1.0,0.28,0.0846,0.0,0.0503,0.878,88.917,198773.0,3.0,"El Orfanato
Danza Kuduro (Plop, Plop, Plop...)
Lucenzo
El Rey...!
La Mano Arriba
Cintura Sola
Da Media Vuelta
Danza Kuduro
No Te Canses Ahora
Que Esto Sólo Empieza
Mueve La Cabeza
Danza Kuduro
La Mano Arriba
Cintura Sola
Da Media Vuelta
Danza Kuduro
No Te Canses Ahora
Que Esto Sólo Empieza
Mueve La Cabeza
Danza Kuduro
Quien Puede Domar La Fuerza Del Mal Que Se Mete Por Tus Venas
Lo Caliente Del Sol Que Se Te Metió Y No Te Deja Quieta, Nena
Quien Puede Parar Eso Que Al Bailar Descontrola Tus Caderas (Sexy...!)
Y Ese Fuego Que Quema Por Dentro Y Lento, Te Convierte En Fiera

Con La Mano Arriba
Cintura Sola
Da Media Vuelta
Sacude Duro
No Te Quites Ahora
Que Esto Sólo Empieza
Mueve La Cabeza
...

",1.0,pop,2010
95,222,querida,juan gabriel,0,7osHjFGYUmIMB6eAiU9HDs,0.427,0.586,0.0,-5.325,1.0,0.0286,0.321,0.0,0.0818,0.509,178.059,295280.0,4.0,"Querida
Cada momento de mi vida
Yo pienso en ti más, cada día
Mira mi soledad
Mira mi soledad
Que no me sienta nada bien
Oh, ven ya

Querida
No me ha sanado bien la herida
Te extraño y lloro, todavía
Mira mi soledad
Mira mi soledad
Que no me sienta nada bien
Oh, ven ya

Querida
Piensa en mí, solo un momento y ven
Date cuenta de que el tiempo es cruel
Y lo he pasado yo sin ti
Oh, ven ya (Oh, oh)

Querida
...

",0.0,pop,2015
187,801,love like this - 2016 remaster,faith evans,0,3pYkhCA97OPAwO6rkWLRcQ,0.709,0.714,0.0,-4.038,1.0,0.0786,0.00381,0.0,0.0513,0.759,100.866,271920.0,4.0,"I never knew there was a
Love like this before
Never had someone to show me a love
Love like this before

Now that we have come to be
A brand new life I can't see
Never thought you'd be a special part of me, no baby
The reasons are because of you
I can go on and make it through
I can't even take my mind off loving you
And I wanna say

I never knew there was a
Love like this before
(A love like this before no)
Never had someone to show me a love (Ooooh)
Love like this before

I know you can't see
All the things you mean to me
I'm so amazed that you are mine, yeah yeah, yeah yeah
If we can work together
Maybe this could last forever
This is something that I wanna hold on to
So baby try to understand
...

",1.0,pop,2016
266,947,little black backpack - remastered,stroke 9,0,2ZU0H1Rr1L7rjpZGHjgkAr,0.452,0.85,7.0,-4.918,1.0,0.0503,0.000136,0.0,0.0988,0.324,118.1,224939.0,4.0,"Well, I know it
It's a shame
A shame I can't show it

And I see it
I can see it now
But I'm so far below it

Don't wanna
Don't wanna talk about it
I say why not?
Don't wanna think about it
I say there's got to be
Some good reason
For your little black backpack
Up smack, turn around
He's on his back

And I don't wanna tango with you
I'd rather tangle with him
I think I'm gonna bash his head in
This shouldn't concern you except
That just don't expect to get
Your bloody black backpack back

And I can feel you
Yes, I can
...

",0.0,pop,2010
313,1015,all i am,jess glynne,0,6X6SdJzxyw7GzxwP2fr9WV,0.74,0.669,0.0,-5.199,1.0,0.0373,0.0445,0.0,0.184,0.536,122.007,218868.0,4.0,"Every butterfly I get belongs to you
You don't believe me, but it's true
Sure, the freckles on my arm spell out your name
Real feelings coming through

'Cause all I know and all I am is you
Yeah, all I know and all I am is you
I'm breaking my silence
'Cause I've had a few
I just can't deny it
That all I know and all I am is you

Every time I think I'm falling
I know you're falling too
There's no doubt you're all in
If you ever think you're falling
You know I'll catch you too
'Cause all I am is you

Every daydream I have starts and ends with you
...

",0.0,pop,2018
314,1016,heart to love,passenger,0,5UIqUgIsDD98sHFH9kkodb,0.525,0.772,0.0,-4.984,0.0,0.0442,0.0616,0.000993,0.109,0.603,98.908,197667.0,4.0,"I've been hopelessly clutching up for something I can hold
I've been lying in the dark with no light in my soul
I've been rummaging around in the rain and the cold
I've been searching for diamonds in a pile of coal
I've been searching for diamonds in a pile of coal

I've been reckless and ragged, I've been running to the ground
I've been lost for so long I forgot I could be found
I've been holding my breath for the axe to come down
I've been searching for angels in the devil's town
I've been searching for angels in the devil's town

...

",0.0,pop,2018
317,1023,fake friends,joel adams,0,7JR8hehOWRyRQcFTiEiQd9,0.629,0.596,0.0,-4.44,1.0,0.193,0.00418,0.0,0.286,0.649,172.032,174774.0,4.0,"Lately you and I can't even hold a conversation
It's like I'm talking to a wall
I hear that
You've been running around telling everyone you hate me
Somehow I didn't even know
And I've been talking to your mama
She said, ""Boy, it's such a shame""
She knows that I've always been there, na na
So tell me who are them, na na

Rolling through the hills to the fake parties
Buying all those drinks with your fake ID
Hanging with your friends but your friends ain't me
Well you can say that I said hello

Say hello to your fake friends
Hope I don't meet them someday
Never there when you need them
But you still love them the same
I guess you can't be alone
Not even for one day
Say hello to your fake friends
Say hello, say hello
...

",0.0,pop,2018
318,1024,love someone,lukas graham,0,2JqnpexlO9dmvjUMCaLCLJ,0.55,0.415,9.0,-6.557,0.0,0.052,0.161,0.0,0.108,0.274,172.065,205463.0,4.0,"There are days
I wake up and I pinch myself
You're with me, not someone else
And I am scared, yeah, I'm still scared
That it's all a dream

'Cause you still look perfect as days go by
Even the worst ones, you make me smile
I'd stop the world if it gave us time

'Cause when you love someone
You open up your heart
When you love someone
You make room
If you love someone
And you're not afraid to lose 'em
You probably never loved someone like I do
You probably never loved someone like I do
...

",0.0,pop,2018
319,1025,let you love me,rita ora,0,6xtcFXSo8H9BZN637BMVKS,0.531,0.854,10.0,-3.149,1.0,0.198,0.288,0.0,0.0773,0.456,94.419,190000.0,4.0,"I should've stayed with you last night
Instead of going out to find trouble
That's just trouble (yeah)

I think I run away sometimes
Whenever I get too vulnerable
That's not your fault (yeah)

See I wanna stay the whole night
I wanna lay with you till the sun's up
I wanna let you inside
Oh, heaven knows I've tried

I wish that I could I let you love
Wish that I could let you love me
I wish that I could I let you love
Wish that I could let you love me
Say what's the matter, what's the matter with me?
What's the matter with me?
Oh, I wish that I could I let you love
Wish that I could let you love me now

I wish, I wish, I wish, I wish, I
I wish, I wish, I wish, I wish, I
...

",0.0,pop,2018
320,1027,head held high,kodaline,0,5PyRffCCs2KPPL5LFDGEs5,0.527,0.941,6.0,-3.376,1.0,0.0551,0.00818,2.37e-06,0.397,0.44,94.056,214880.0,4.0,"La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la
La, la, la, la

Ever had a feeling that you can't go on?
Trying to be strong but getting weaker
Carrying the weight of every single day
Having lost your way, feeling defeated
Sat staring, counting spiral patterns on the wall
You wonder if your luck is ever gonna turn around, but oh

You need a little light to guide the way
Waiting on the sun to shine again
You got to keep your head up high
You got to keep your head up high
You need a little hope to carry on
In the middle of the night when you're all alone
You got to keep your head up high
You got to keep your head up high

Your bedroom carpet stained with rosé wine
Empty's left behind, the morning after
...

",0.0,pop,2018
321,1029,the way i am,charlie puth,0,6qNALlmZa1ESnCxJmXE1K9,0.755,0.769,10.0,-5.658,0.0,0.186,0.314,2.38e-06,0.0628,0.642,114.966,186080.0,4.0,"Yeah
Maybe I'ma get a little anxious
Maybe I'ma get a little shy
Cause everybody's trying to be famous
And I'm just trying to find a place to hide, oh
All I wanna do is just hold somebody
But no one ever wants to get to know somebody
I don't even know how to explain this
I don't even think I'm gonna try

And that's ok
I promise myself one day (Hey)

I'ma tell 'em all
I'ma tell 'em all that you could either hate me or love me
But that's just the way I am
I'ma tell 'em all
I'ma tell 'em all that you could either hate me or love me
But that's just the way I am
That's just the way I am, that's just the way I am
That's just the way I am, that's just the way I am

Maybe I'ma get a little nervous
Maybe I don't go out anymore (oh)
Feelin' like I really don't deserve this (deserve this)
...

",0.0,pop,2018
