,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
1,in the end,linkin park,0,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,4.0
2,seven nation army,the white stripes,0,7i6r9KotUPQg3ozKKgEPIN,0.737,0.463,0.0,-7.828,1.0,0.0792,0.00817,0.447,0.255,0.324,123.881,231733.0,4.0
3,by the way,red hot chili peppers,0,1f2V8U1BiWaC9aJWmpOARe,0.451,0.97,0.0,-4.938,1.0,0.107,0.0264,0.00355,0.102,0.198,122.444,216933.0,4.0
5,bring me to life,evanescence,0,0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4.0,-3.188,0.0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893.0,4.0
6,last resort,papa roach,0,5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,4.0,-3.719,0.0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907.0,4.0
9,sex on fire,kings of leon,0,0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,9.0,-5.653,1.0,0.054,0.00172,0.0104,0.136,0.374,153.398,203347.0,4.0
12,smooth criminal,alien ant farm,0,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9.0,-4.261,0.0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267.0,4.0
14,chop suey!,system of a down,0,2DlHlPMa4M17kufBvI2lEN,0.419,0.934,7.0,-3.908,0.0,0.12,0.000278,0.0015,0.132,0.286,127.288,210240.0,4.0
15,take me out,franz ferdinand,0,6ooluO7DiEhI1zmK94nRCM,0.278,0.676,9.0,-8.821,1.0,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027.0,4.0
20,the kill (bury me),thirty seconds to mars,0,232FvPwx9QqPtvob5aSDKv,0.303,0.926,4.0,-3.945,0.0,0.0695,0.00115,0.00235,0.275,0.272,182.915,233427.0,3.0
22,no one knows,queens of the stone age,0,6NvRxjfYkkT2SpirAlmsjH,0.511,0.581,0.0,-4.93,1.0,0.0581,0.031,0.000171,0.367,0.668,170.852,278707.0,4.0
23,jerk it out,caesars,0,6sbp4i2FtlsQSVMepZPG9c,0.58,0.981,8.0,-2.603,0.0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667.0,4.0
24,uprising,muse,0,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2.0,-4.046,1.0,0.0775,0.000202,0.064,0.117,0.411,128.019,304840.0,4.0
27,american idiot,green day,0,6nTiIhLmQ3FWhvrGafw2zj,0.38,0.988,1.0,-2.042,1.0,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346.0,4.0
33,i hate everything about you,three days grace,0,6rUp7v3l8yC4TKxAAR5Bmx,0.498,0.83,6.0,-5.157,0.0,0.0421,0.00461,0.0,0.139,0.453,89.342,231480.0,4.0
34,rollin' (air raid vehicle),limp bizkit,0,3IV4swNduIRunHREK80owz,0.603,0.933,1.0,-3.358,1.0,0.171,0.00591,0.0,0.206,0.709,96.306,213760.0,4.0
35,fat lip,sum 41,0,4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9.0,-5.215,1.0,0.142,0.000579,0.0,0.065,0.626,196.505,178267.0,4.0
36,the pretender,foo fighters,0,7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9.0,-4.04,1.0,0.0431,0.000917,0.0,0.028,0.365,172.984,269373.0,4.0
37,savior,rise against,0,3asFGFY3uLjMDmML1p0tYm,0.339,0.931,5.0,-3.425,0.0,0.062,0.0015,0.000142,0.425,0.467,112.548,242280.0,4.0
38,bodies,drowning pool,0,7CpbhqKUedOIrcvc94p60Y,0.659,0.93,4.0,-3.41,0.0,0.0783,0.00364,0.00124,0.149,0.534,130.94,201960.0,4.0
40,last nite,the strokes,0,3SUusuA9jH1v6PVwtYMbdv,0.624,0.899,0.0,-5.71,1.0,0.0295,0.0223,0.000155,0.0975,0.797,104.055,193373.0,4.0
41,through glass,stone sour,0,5NeIONQWJ25uPylJBJiO4c,0.545,0.753,3.0,-4.618,0.0,0.036,0.0417,0.0,0.389,0.434,105.754,282947.0,4.0
42,the diary of jane - single version,breaking benjamin,0,0faXHILILebCGnJBPU6KJJ,0.392,0.964,10.0,-4.441,0.0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547.0,4.0
43,down with the sickness,disturbed,0,40rvBMQizxkIqnjPdEWY1v,0.695,0.876,3.0,-4.262,0.0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213.0,4.0
44,wish you were here,incubus,0,6KtLECDztnah63TNmV4Plw,0.246,0.768,9.0,-7.48,1.0,0.0387,0.000631,0.301,0.102,0.35,169.873,212733.0,4.0
46,vertigo,u2,0,57ZXcBtCZXSg9TVV5xRdnR,0.416,0.819,9.0,-3.974,1.0,0.0613,0.000138,0.00108,0.122,0.632,140.083,194520.0,4.0
47,miss murder,afi,0,0Ti2dlF2xLjXblvdU5fCxM,0.308,0.873,8.0,-4.542,1.0,0.0533,0.00022,0.000729,0.0974,0.686,143.519,206587.0,4.0
48,i bet you look good on the dancefloor,arctic monkeys,0,29EkMZmUNz1WsuzaMtVo1i,0.535,0.948,6.0,-4.19,0.0,0.0356,0.00225,0.0,0.376,0.778,103.183,173680.0,4.0
49,"steady, as she goes",the raconteurs,0,19iqWNzp5LwEdvntpEK8MP,0.524,0.578,9.0,-4.563,1.0,0.12,0.0132,0.00921,0.108,0.537,123.669,215267.0,4.0
50,falling away from me,korn,0,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,4.0,-7.036,1.0,0.041,0.00014,0.00124,0.271,0.17,104.102,270920.0,4.0
51,crawling in the dark,hoobastank,0,3wli6CFsUwYEuLZTIuCwt3,0.57,0.915,6.0,-4.802,0.0,0.105,0.000273,8.48e-05,0.178,0.676,93.54,175227.0,4.0
52,i stand alone,godsmack,0,44NRdYQw7P0GWuiunRv3hr,0.217,0.92,8.0,-4.479,1.0,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040.0,4.0
53,woman,wolfmother,0,3CkjLJYnnyOtGk4Jx4iYS4,0.219,0.952,2.0,-3.621,1.0,0.176,5.1e-05,0.0989,0.157,0.172,112.886,176307.0,1.0
54,show me how to live,audioslave,0,1Qdnvn4XlmZANCVy3XjrQo,0.433,0.854,9.0,-3.868,1.0,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840.0,4.0
55,the red,chevelle,0,1gyee1JuFFiP476LQpRMYU,0.509,0.843,1.0,-3.318,0.0,0.0488,0.000671,0.000803,0.348,0.332,140.055,238400.0,3.0
56,remedy,seether,0,5ynxx6zC4dgzsMHLYQ04Dc,0.55,0.952,8.0,-4.664,1.0,0.0924,0.000193,0.000666,0.0614,0.391,127.804,207213.0,4.0
57,plug in baby,muse,0,429MqIq5nGH32feyRZHunv,0.408,0.965,2.0,-4.232,1.0,0.05,6.94e-06,0.000402,0.11,0.349,136.018,218000.0,4.0
58,change (in the house of flies) - in the house of flies lp version,deftones,0,51c94ac31swyDQj9B3Lzs3,0.269,0.853,7.0,-4.647,0.0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533.0,4.0
59,judith,a perfect circle,0,5KDNFlHAdDJ84fhK27c35X,0.365,0.894,11.0,-4.682,0.0,0.0572,3.32e-05,0.171,0.267,0.31,82.305,247267.0,3.0
60,mia (feat. drake),bad bunny,0,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368.0,4.0
61,"taki taki (with selena gomez, ozuna & cardi b)",dj snake,0,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,4.0
62,white boi,dillon francis,0,2X7pHBr2TJl0yZ97B2vz40,0.83,0.497,1.0,-6.94,1.0,0.052,0.0983,0.0,0.0906,0.634,127.965,185282.0,4.0
63,just wanna love you (feat. j. balvin),cris cab,0,3d0j5Tkx2Yum7FhMvJZe85,0.687,0.766,11.0,-6.08,1.0,0.054,0.0557,0.00107,0.146,0.303,94.973,199231.0,4.0
64,beautiful (feat. camila cabello),bazzi,0,4VUwkH455At9kENOfzTqmF,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,180000.0,4.0
65,celoso,lele pons,0,33zcmmElV1YbRZe57biUjg,0.746,0.703,4.0,-4.179,0.0,0.107,0.352,0.0,0.331,0.667,166.043,179693.0,4.0
66,good vibes,fuego,0,4TwIbmabI2R5XUhqptk6Ev,0.823,0.63,7.0,-3.932,1.0,0.0797,0.0348,6.72e-06,0.0964,0.184,100.04,235720.0,4.0
67,real friends,camila cabello,0,5vnpANH92iEajvGwE2oQ6r,0.701,0.512,0.0,-6.869,0.0,0.0969,0.235,5.07e-06,0.135,0.663,91.947,223583.0,4.0
68,pa la calle,coastcity,0,5MS3LTJ8zXkxMobDgFhvMC,0.695,0.884,0.0,-6.279,1.0,0.131,0.117,0.0,0.104,0.854,74.992,243487.0,4.0
69,pa mí,dalex,0,7g8YaUQABMal0zWe7a2ijz,0.688,0.62,11.0,-8.029,0.0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960.0,4.0
70,wake up in the sky,gucci mane,0,0QIjsbm2fh1cJ45XO9eGqq,0.8,0.578,4.0,-5.144,0.0,0.0485,0.00381,0.0,0.359,0.367,143.01,204665.0,4.0
71,está rico,marc anthony,0,2wRkBumdItthjYP9XknImg,0.817,0.74,11.0,-4.566,0.0,0.283,0.266,0.0,0.0992,0.674,130.04,215151.0,4.0
72,banana clip - spanish version,miguel,0,3sZB7cAJkbVkeWz1dMJ2Sy,0.398,0.66,1.0,-5.626,0.0,0.12,0.107,0.0,0.121,0.719,83.828,202373.0,4.0
74,come with me,kap g,0,0k9Dqeik4DvPIbaOHglvFS,0.659,0.734,10.0,-4.008,1.0,0.046,0.0526,2.48e-06,0.242,0.346,161.971,157461.0,4.0
75,como si na,melii,0,7LAK1HqDfxTt7HvSJ0px2M,0.716,0.766,9.0,-4.133,1.0,0.173,0.219,0.0,0.244,0.739,160.1,170998.0,4.0
76,blah,mariah,0,5KOWiETj1KBUUe1oMohuHX,0.723,0.687,11.0,-4.632,0.0,0.2,0.0255,0.000207,0.124,0.777,173.747,188440.0,4.0
78,mi infinita,cuco,0,34jrXQENVMzhDQHmjOJpA1,0.465,0.675,10.0,-7.555,1.0,0.0485,0.902,0.267,0.11,0.129,119.941,272000.0,4.0
79,coqueta,katzù oso,0,66ddt3E6KGEpRhJVchDnz3,0.632,0.652,4.0,-10.558,1.0,0.0302,0.571,0.85,0.194,0.594,115.031,174000.0,4.0
80,sola,jessie reyez,0,3doK7YkkgMtfD6qoXCkTWh,0.575,0.184,9.0,-10.26,1.0,0.0636,0.93,0.0,0.096,0.188,83.616,210013.0,4.0
81,nuestro planeta (feat. reykon),kali uchis,0,12TOa8pzhbLTWh1vxIsPMp,0.871,0.55,0.0,-6.113,0.0,0.0613,0.0927,0.000742,0.0788,0.448,96.018,202755.0,4.0
82,hijo de su madre,omar apollo,0,2LGR3T1xZwuELcOi6DpMXY,0.829,0.606,5.0,-7.093,1.0,0.149,0.0646,0.391,0.281,0.732,118.051,178010.0,4.0
83,lento,rudy mancuso,0,3TqVwe3IkJGvnFpbYvh9pu,0.837,0.649,11.0,-5.26,0.0,0.192,0.149,7.63e-05,0.103,0.948,164.002,169251.0,4.0
84,dicen,matt hunter,0,4cfoVJxpHqUqTvBrG1RTyi,0.817,0.635,5.0,-5.719,0.0,0.138,0.137,7.85e-06,0.245,0.777,103.029,220827.0,4.0
85,bebe,6ix9ine,0,6mKs2kkBgvf090H566n1pd,0.635,0.902,0.0,-3.559,1.0,0.109,0.172,0.0,0.125,0.286,102.063,217822.0,4.0
87,zooted (feat. french montana & farruko),becky g,0,3clw56k8jqFaXnwdejV4Yo,0.815,0.626,6.0,-5.139,1.0,0.103,0.267,1.31e-05,0.275,0.571,109.989,217652.0,4.0
88,havana - remix,camila cabello,0,3whrwq4DtvucphBPUogRuJ,0.751,0.579,2.0,-4.036,1.0,0.0321,0.398,2.28e-05,0.133,0.349,105.031,199095.0,4.0
89,pum pum,sammi sanchez,0,08d7h5o87QHdxIJ8qwgvgh,0.736,0.906,4.0,-1.49,0.0,0.0566,0.0749,0.000123,0.12,0.611,93.013,185744.0,4.0
90,quiero saber,jesse baez,0,3hbJTkEZUwGR7o74InfR3D,0.701,0.82,6.0,-5.481,0.0,0.0503,0.00282,1.97e-06,0.315,0.552,102.997,166093.0,4.0
91,como,kim viera,0,2sVQ3guXjN1KB3BiuZHaFD,0.544,0.848,9.0,-3.574,1.0,0.0658,0.00321,0.0,0.0561,0.657,92.061,234373.0,4.0
92,anywhere contigo,breakfast n vegas,0,5pc9qadiig2q84FABIGHsn,0.769,0.844,11.0,-4.058,0.0,0.0951,0.279,0.0,0.152,0.709,103.958,193846.0,4.0
93,no gratis,messiah,0,0YNZO6VgdOUDvB5T2yMGnL,0.777,0.546,7.0,-9.504,1.0,0.207,0.425,0.0,0.0809,0.952,147.173,208800.0,4.0
94,díganle - tainy remix,leslie grace,0,1l89iNLbzfFN9TsWJORolB,0.84,0.789,1.0,-4.695,0.0,0.0949,0.102,0.0,0.309,0.619,92.018,211438.0,4.0
95,sangria wine,pharrell williams,0,6XlSyYFTU1nodeWwwzVgTV,0.831,0.713,1.0,-3.646,0.0,0.094,0.181,0.0,0.0572,0.69,132.109,202853.0,4.0
96,all day,danileigh,0,1gxrzphu3xwlZAQhtvNBMK,0.825,0.481,2.0,-8.6,1.0,0.0396,0.0797,0.0,0.239,0.761,121.046,198387.0,4.0
97,just as i am,spiff tv,0,1iKMpywaaihrz8gqaRqzp1,0.682,0.751,8.0,-5.812,0.0,0.0675,0.235,0.0,0.11,0.708,129.937,224413.0,4.0
99,scooby doo pa pa (remix),dj kass,0,1qn6qJieOnISqDvhAsnyKT,0.921,0.965,1.0,-1.396,1.0,0.178,0.196,0.000201,0.323,0.507,120.902,176703.0,4.0
100,don't werk,paula deanda,0,1GXwLx1iRQWDiyC8lxzTbL,0.703,0.617,7.0,-8.732,1.0,0.0731,0.108,5.61e-05,0.271,0.435,123.159,133120.0,4.0
101,"1, 2, 3 (feat. jason derulo & de la ghetto)",sofia reyes,0,4QtiVmuA88tPQiCOHZuQ5b,0.792,0.895,1.0,-3.112,0.0,0.0589,0.165,0.0,0.0501,0.794,94.968,201526.0,4.0
102,pa mi (with ozuna),tory lanez,0,0CYLDwvvpJQySLA5CvqvSl,0.596,0.557,1.0,-7.522,0.0,0.134,0.0983,0.0,0.0565,0.661,133.247,216689.0,5.0
103,lo siento,super junior,0,2VVqxQhALecXvaArlZSVXr,0.746,0.738,9.0,-3.67,1.0,0.207,0.0705,0.0,0.043,0.63,94.808,226184.0,4.0
104,nuestra cancion pt. 2 (feat. arcángel),snow tha product,0,6fXcO9KlWgg4zAgEHDg84i,0.493,0.825,8.0,-4.056,1.0,0.0798,0.0079,0.0,0.129,0.621,99.866,215004.0,4.0
105,la hora loca,jackie cruz,0,3slEtqOv6jsy9BlRlqxy4C,0.838,0.639,7.0,-7.478,0.0,0.0652,0.0418,0.0,0.0802,0.802,126.018,173000.0,4.0
106,dinero - english version,trinidad cardona,0,1VNYba9ONwMhB32QdqU0ms,0.701,0.779,11.0,-4.657,0.0,0.0647,0.00436,0.0,0.121,0.451,119.974,161093.0,4.0
107,pum pum (feat. kap g & play-n-skillz),messiah,0,3Aisht63nuyccguwcW3ek5,0.871,0.563,10.0,-8.329,0.0,0.0795,0.149,0.0,0.0568,0.62,91.998,182225.0,4.0
108,hora loca,dj africa,0,0IfyEwBIhH64zdIHoKOFys,0.65,0.801,7.0,-5.407,0.0,0.0723,0.0507,0.0,0.0645,0.74,166.16,215422.0,4.0
109,better with you,michl,0,1FjHxl8B28sXj7eVfxdST4,0.784,0.437,5.0,-7.868,1.0,0.0509,0.265,6.98e-05,0.126,0.47,90.003,196018.0,4.0
112,insecure,amara la negra,0,5vad0eq5x3f3rtRlo8GnL4,0.483,0.685,10.0,-3.232,0.0,0.174,0.369,0.0,0.0817,0.546,185.502,191907.0,4.0
115,belong to u,fancy cars,0,6pG8mlZHcSt14eQCOQxA2N,0.631,0.771,1.0,-5.78,1.0,0.0517,0.628,3.65e-05,0.0946,0.466,100.931,202574.0,4.0
116,sunny daze,salaam remi,0,3whp8PfpRw1xqzz7rbIzN4,0.853,0.715,7.0,-6.177,1.0,0.0762,0.565,0.0106,0.0716,0.844,92.377,167823.0,4.0
118,island,lil eddie,0,4an3AHqtVPXx9fHdcvoyKE,0.804,0.464,1.0,-7.926,1.0,0.377,0.309,0.0,0.22,0.497,121.947,175910.0,4.0
119,crazy in love,beyoncé,0,5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133.0,4.0
123,michael jackson x mark ronson: diamonds are invincible,michael jackson,0,7jRs0CvNctNBNH1roANQdY,0.672,0.832,11.0,-2.388,0.0,0.342,0.342,0.000428,0.242,0.549,117.298,300027.0,4.0
129,love never felt so good,michael jackson,0,48td6xvpokdYwvbl3JIiXP,0.775,0.719,7.0,-6.212,0.0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027.0,4.0
132,drops of jupiter,train,0,2hKdd3qO7cWr2Jo0Bcs0MA,0.468,0.64,0.0,-5.862,1.0,0.0275,0.154,0.0,0.154,0.499,79.297,259933.0,4.0
137,tik tok,kesha,0,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,199693.0,4.0
138,look at me now,chris brown,0,3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11.0,-6.128,0.0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,222587.0,4.0
161,oops!...i did it again,britney spears,0,6naxalmIoLFWR0siv8dnQQ,0.751,0.834,1.0,-5.444,0.0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160.0,4.0
163,get lucky (feat. pharrell williams & nile rodgers) - radio edit,daft punk,0,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6.0,-8.966,0.0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413.0,4.0
165,"one, two step",ciara,0,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5.0,-10.96,0.0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787.0,4.0
181,dirrty (feat. redman),christina aguilera,0,59ZTxQo8rBycIXPLUIKvE2,0.64,0.889,2.0,-3.073,1.0,0.322,0.107,0.0,0.339,0.436,99.931,298853.0,4.0
189,the anthem,good charlotte,0,0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,1.0,-3.127,1.0,0.126,0.00666,0.0,0.139,0.893,177.751,175093.0,4.0
193,over you,daughtry,0,7mXmxXLAnsvXKt4Q37KoMI,0.423,0.922,3.0,-2.602,1.0,0.0411,0.017,0.0,0.102,0.567,156.063,204853.0,4.0
197,vivir mi vida,marc anthony,0,3QHMxEOAGD51PDlbFPHLyJ,0.655,0.877,0.0,-3.23,0.0,0.0344,0.344,0.0,0.349,0.893,105.017,252347.0,4.0
198,la vida es un carnaval,celia cruz,0,1BwrMGGhPA6GarWIYaFrW8,0.813,0.701,0.0,-6.508,0.0,0.0701,0.489,0.00116,0.294,0.855,104.019,278867.0,4.0
199,lambada - original version 1989,kaoma,0,6xepovPqjvrkEw9Y5AMmTm,0.756,0.8,5.0,-5.158,1.0,0.0329,0.211,0.000723,0.047,0.967,118.921,207467.0,4.0
200,la camisa negra,juanes,0,2EM9zpAc7PVeoAydmbfVIL,0.751,0.731,6.0,-4.419,0.0,0.0308,0.0838,0.0,0.0556,0.973,97.007,216707.0,4.0
201,la gota fría,carlos vives,0,5ZaTqcL7zIreaVNeVy89Iu,0.719,0.809,1.0,-10.201,1.0,0.0511,0.0893,0.0,0.183,0.964,100.839,215493.0,4.0
202,suavemente,elvis crespo,0,1YwPNemawMgGe6sF4U0FTE,0.809,0.883,8.0,-2.965,1.0,0.0689,0.238,0.00234,0.0625,0.918,124.096,266307.0,4.0
203,bailando - spanish version,enrique iglesias,0,32lm3769IRfcnrQV11LO4E,0.723,0.777,7.0,-3.503,1.0,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,243413.0,4.0
204,danza kuduro,don omar,0,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0.0,-4.89,1.0,0.28,0.0846,0.0,0.0503,0.878,88.917,198773.0,3.0
205,conga,miami sound machine,0,3FdHgoJbH3DXNtGLh56pFu,0.789,0.655,2.0,-14.825,1.0,0.0474,0.167,0.0409,0.0311,0.865,122.236,254000.0,4.0
206,la bilirrubina - en vivo estadio olímpico de república dominicana/2012,juan luis guerra 4.40,0,1GT0Q2ZTeKtIBueYKr4vhr,0.585,0.977,1.0,-3.57,1.0,0.0615,0.622,0.0,0.328,0.801,138.264,232880.0,4.0
207,guantanamera,celia cruz,0,7arYtARCpVmLPsB8Chua4A,0.753,0.522,10.0,-7.254,1.0,0.0416,0.831,0.00398,0.407,0.862,144.2,197067.0,4.0
208,el matador,los fabulosos cadillacs,0,4S0p4Z0KuVUWm2bxKoGPRJ,0.554,0.963,4.0,-5.439,0.0,0.106,0.0348,0.029,0.0836,0.662,193.805,274067.0,4.0
209,amor prohibido,selena,0,1kCewNSs909Xj1naXr36X8,0.681,0.504,7.0,-11.099,1.0,0.0284,0.669,0.0,0.142,0.705,89.994,172627.0,4.0
211,obsesion,aventura,0,65H6t1WQBim6q93yM8fEwn,0.804,0.56,1.0,-6.912,0.0,0.0397,0.416,0.0,0.0608,0.768,133.682,254720.0,4.0
212,let's get loud,jennifer lopez,0,42nSaPdT6g3ZIMHmKLlP2p,0.82,0.937,5.0,-4.81,0.0,0.0551,0.135,0.000128,0.35,0.906,130.993,239400.0,4.0
213,oye como va,tito puente,0,5eMg0Q1M1rO5BKAgJUmrdr,0.724,0.637,7.0,-8.155,1.0,0.0337,0.279,0.00174,0.108,0.962,124.325,271680.0,4.0
215,bamboleo,gipsy kings,0,4EveU9Zb50mjgi5avDNqlK,0.671,0.884,6.0,-9.267,0.0,0.0586,0.414,0.00015,0.0701,0.933,119.574,203173.0,4.0
216,pedro navaja,rubén blades,0,3TfU1HNQzBR7Btx73qm29W,0.603,0.328,8.0,-17.253,1.0,0.359,0.543,0.0,0.229,0.698,101.856,444267.0,4.0
217,gasolina,daddy yankee,0,6jEZLz3YpnEBRpVkv35AmP,0.857,0.801,0.0,-6.499,1.0,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,192600.0,4.0
218,mambo no 5,pérez prado,0,6fJnlY8rYqC37J2u2OeEMf,0.816,0.416,5.0,-17.795,0.0,0.244,0.337,0.791,0.0452,0.817,90.148,162213.0,4.0
219,de música ligera,soda stereo,0,2WD9ggmpZE7Wodh3qVVCgg,0.542,0.714,2.0,-8.045,1.0,0.028,0.00487,0.298,0.334,0.76,124.26,212893.0,4.0
221,la bamba,los lobos,0,6uU5OBhGUE1ngSKDj4wtoq,0.348,0.751,0.0,-12.823,1.0,0.0494,0.0699,0.000738,0.208,0.886,156.509,172733.0,4.0
222,querida,juan gabriel,0,7osHjFGYUmIMB6eAiU9HDs,0.427,0.586,0.0,-5.325,1.0,0.0286,0.321,0.0,0.0818,0.509,178.059,295280.0,4.0
224,la ingrata,café tacvba,0,19ScoKGqnfUggyqOVQjsoH,0.748,0.835,7.0,-5.731,1.0,0.0351,0.0854,1.97e-06,0.0365,0.896,142.942,212000.0,4.0
227,rebelión,joe arroyo,0,3v32VtMTRZbIQJUFsQpeJD,0.565,0.778,1.0,-7.07,1.0,0.0586,0.426,0.0135,0.263,0.815,105.807,287893.0,4.0
228,la maza,silvio rodríguez,0,2a1x7Ln27cNtsgtL26mdwi,0.555,0.331,9.0,-17.718,0.0,0.27,0.652,1.16e-05,0.235,0.437,170.603,351400.0,3.0
229,amor eterno,rocío dúrcal,0,3K3wpXrbZYkXMxiA9QJwV1,0.279,0.157,0.0,-17.564,1.0,0.0334,0.231,0.000463,0.564,0.385,177.312,408507.0,4.0
230,besame mucho,consuelo velázquez,0,5Vt9jqpVuWm30gUvunICh3,0.341,0.0785,2.0,-26.025,0.0,0.0419,0.993,0.895,0.117,0.265,115.978,208333.0,4.0
231,mais que nada,sergio mendes & brasil '66,0,6YTBfxkdGce9pLEy9jG9Jo,0.637,0.493,0.0,-13.094,0.0,0.0482,0.524,1.52e-05,0.136,0.932,88.796,159467.0,4.0
232,el cantante,héctor lavoe,0,5Uve0jm1RgxKWzdSvncBDO,0.549,0.498,7.0,-9.203,0.0,0.0371,0.694,3.87e-05,0.109,0.575,95.345,626880.0,4.0
233,chan chan,buena vista social club,0,5sbw5zIz9ck2pOEDXUR0QU,0.396,0.496,2.0,-11.728,0.0,0.0356,0.833,0.00534,0.0996,0.679,165.647,256653.0,4.0
234,amigo,roberto carlos,0,4CKIoO64EM5M37TkshbaQE,0.613,0.489,11.0,-13.509,0.0,0.0503,0.259,0.0,0.0696,0.898,145.278,208867.0,4.0
235,the girl from ipanema - stereo version,stan getz,0,5D9Psd43c2cidUu6RdkCu2,0.666,0.181,5.0,-14.932,0.0,0.0409,0.896,0.000373,0.111,0.391,130.024,325120.0,4.0
236,oye mi amor,maná,0,5EJ2THuhAapEIeQOtXUQ0x,0.543,0.903,11.0,-6.658,0.0,0.039,0.0102,0.00585,0.0862,0.962,162.241,263306.0,4.0
237,latinoamérica,calle 13,0,1xuYajTJZh8zZrPRmUaagf,0.691,0.805,2.0,-6.81,0.0,0.0947,0.59,0.0,0.0975,0.866,142.503,301427.0,3.0
238,"soy un truhán, soy un señor",julio iglesias,0,07nrFSbS6ht0jMNpTpMfsg,0.551,0.607,0.0,-9.483,1.0,0.0329,0.262,0.0,0.361,0.684,99.041,180600.0,4.0
239,mediterraneo,joan manuel serrat,0,7Bewui7KtaMzROeteRitRz,0.545,0.59,9.0,-7.257,0.0,0.0813,0.599,0.0,0.0916,0.583,100.835,205227.0,3.0
240,gracias a la vida,violeta parra,0,5U7MyRNbuZrWkyAI4bm3Ja,0.649,0.144,0.0,-16.809,1.0,0.0522,0.811,2.42e-06,0.089,0.264,119.193,278040.0,4.0
241,la cumparsita,gerardo matos rodriguez,0,6tJ0zwyKkJ9pWXN0XWqLqY,0.57,0.301,7.0,-13.846,1.0,0.0518,0.908,0.574,0.123,0.431,118.337,193800.0,4.0
242,paloma negra,lola beltrán,0,7cOZAzuSGF7y4pNX35B7yq,0.454,0.257,2.0,-7.446,1.0,0.0363,0.916,8.06e-05,0.208,0.464,80.43,195480.0,3.0
243,el rey,josé alfredo jimenez,0,4ihZFukyNotzCUtxI4qpu8,0.376,0.374,9.0,-11.923,1.0,0.0408,0.587,0.0,0.214,0.867,182.719,129400.0,4.0
244,feliz navidad,josé feliciano,0,0oPdaY4dXtc3ZsaG17V972,0.512,0.831,2.0,-9.004,1.0,0.0383,0.552,0.0,0.336,0.963,148.82,182067.0,4.0
245,all along the watchtower,jimi hendrix,0,2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,8.0,-6.237,1.0,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800.0,4.0
246,my generation - stereo version,the who,0,4u9f8hqstB7iITDJNzKhQx,0.412,0.782,2.0,-9.186,0.0,0.058,0.308,0.00822,0.0775,0.705,96.732,198707.0,4.0
