,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
4634,same ole me,george jones,0,4yXvztnOOlSspO4W3MIsdd,0.724,0.288,7.0,-13.873,1.0,0.0296,0.634,9.03e-06,0.144,0.403,109.431,170733.0,4.0
4635,step that step,sawyer brown,0,4p0WEALPRSImOlp0glMiDM,0.61,0.518,4.0,-15.036,1.0,0.0288,0.262,0.0,0.0766,0.897,97.707,168240.0,4.0
4636,i'm gonna hire a wino to decorate our home,david frizzell,0,7uibDEY8qNGyL3NXfkAaQc,0.702,0.472,7.0,-12.387,1.0,0.128,0.346,0.0,0.269,0.812,81.245,238973.0,4.0
4637,(there's) no gettin' over me,ronnie milsap,0,2bRnP6FjtlASGsDtcgRVuI,0.595,0.447,1.0,-10.342,0.0,0.0323,0.627,0.000586,0.3,0.787,200.528,199680.0,4.0
4638,the fireman,george strait,0,5CwZU4BVFX0dyqG1gKfHHr,0.664,0.601,2.0,-13.379,1.0,0.0616,0.137,3.09e-05,0.0567,0.934,168.979,154360.0,4.0
4639,highway 40 blues,ricky skaggs,0,58hXpQTyQLiskPd5XiLzFQ,0.653,0.657,4.0,-11.966,1.0,0.0316,0.0582,0.00139,0.349,0.96,117.972,188893.0,4.0
4640,you and i,eddie rabbitt,0,7sWlOFUnQShNdxgk1B0TuW,0.377,0.326,5.0,-12.515,1.0,0.0292,0.249,0.000686,0.111,0.222,163.741,241040.0,4.0
4641,party crowd,david lee murphy,0,57IEs29xqMQaAkjQ8iQuI0,0.758,0.655,7.0,-11.661,1.0,0.0292,0.0379,0.0,0.0795,0.767,127.141,198440.0,4.0
4642,my maria,brooks & dunn,0,09qzRI951OVkXGCc33gzcT,0.673,0.842,3.0,-4.627,1.0,0.0365,0.06,0.000257,0.184,0.897,125.571,207772.0,4.0
4643,i'm from the country - single version,tracy byrd,0,5Lwc3DTWzX6JaW2x2PZezt,0.687,0.898,2.0,-3.93,1.0,0.042,0.206,0.0,0.284,0.952,129.542,213973.0,4.0
4644,the shake,neal mccoy,0,2KZXnN63ae6G6Cai2NhPkG,0.677,0.892,9.0,-5.709,1.0,0.0527,0.0755,6.6e-06,0.202,0.898,145.921,213333.0,4.0
4645,straight tequila night,john anderson,0,5pd09tZmcXpyaXcuzs1p7J,0.638,0.661,9.0,-10.134,1.0,0.0341,0.137,0.0,0.245,0.464,109.268,172756.0,4.0
4646,if i know me,george strait,0,4QRUkpv3q9NCb0x7jw0d3d,0.549,0.352,4.0,-11.217,1.0,0.0271,0.646,0.00014,0.104,0.153,134.374,161800.0,4.0
4647,sold (the grundy county auction incident),john michael montgomery,0,0NLBwQBYJhEM9t3KAMPFVR,0.771,0.848,2.0,-7.365,1.0,0.035,0.108,0.0,0.35,0.803,115.642,152187.0,4.0
4648,then what?,clay walker,0,7Ihl2uNgZmwaOyp9KRHGsA,0.564,0.806,4.0,-8.227,1.0,0.063,0.169,0.0,0.0663,0.633,176.405,183707.0,4.0
4649,bigger than the beatles,joe diffie,0,1pJKAxSNxqM8R653BL8oiH,0.716,0.84,7.0,-6.21,1.0,0.0325,0.182,0.0,0.0413,0.635,119.631,235440.0,4.0
4650,time marches on,tracy lawrence,0,2TIEeLrOQrGnO2D2OeDDJu,0.856,0.517,6.0,-9.232,0.0,0.0293,0.563,0.000164,0.144,0.479,118.399,185360.0,4.0
4651,she's got it all,kenny chesney,0,4l8u5h7OjkZo2UmyUoeKYJ,0.709,0.811,7.0,-6.603,1.0,0.0323,0.093,1.08e-05,0.1,0.735,132.728,205093.0,4.0
4652,guys do it all the time,mindy mccready,0,0uZRJmWi1TH3wrAN7hAbyF,0.551,0.794,0.0,-5.995,1.0,0.0341,0.0594,2.01e-05,0.231,0.587,165.813,191800.0,4.0
4653,single white female,chely wright,0,3rDYYPicaQbT2rcpdfqQF9,0.543,0.658,6.0,-8.091,1.0,0.0298,0.351,1.01e-06,0.0512,0.874,178.075,197880.0,4.0
4654,baby likes to rock it,the tractors,0,2kQtKFkPMdL5Jf7xk4T9SI,0.573,0.946,5.0,-6.178,1.0,0.0369,0.165,0.00028,0.13,0.964,79.966,236467.0,4.0
4655,wish i didn't know now,toby keith,0,2ycrsWMQXAtp7h2HkT60RV,0.753,0.866,7.0,-3.777,1.0,0.0392,0.521,1.04e-06,0.332,0.848,117.106,207640.0,4.0
4657,xxx's and ooo's (an american girl),trisha yearwood,0,08c3wmdjKSjxTJY9cHSts7,0.711,0.642,0.0,-8.909,1.0,0.0319,0.176,0.0,0.0814,0.762,125.831,167907.0,4.0
4658,every light in the house,trace adkins,0,2A7j0RLnzvvlUFrevBiOQf,0.637,0.472,5.0,-7.295,1.0,0.0271,0.539,0.0,0.446,0.349,129.236,179600.0,4.0
4659,sticks and stones,tracy lawrence,0,5qqA8yKkea4fP0fPVpYCbE,0.644,0.667,7.0,-5.741,1.0,0.0306,0.597,0.0,0.12,0.412,125.86,216707.0,4.0
4660,the night the lights went out in georgia,reba mcentire,0,2MiXC2LfpsoeUP5RvMGEQ3,0.428,0.51,7.0,-11.695,0.0,0.103,0.52,8.32e-06,0.105,0.393,169.967,257267.0,4.0
4661,it matters to me,faith hill,0,3rXdABev6vQtBCElztIl7m,0.613,0.355,6.0,-8.218,1.0,0.0247,0.567,0.0,0.0909,0.129,135.622,197667.0,4.0
4662,down at the twist and shout,mary chapin carpenter,0,3NAIYVVGbZrw8yxXxByW8z,0.572,0.953,9.0,-4.355,1.0,0.0625,0.452,0.0,0.0313,0.972,192.304,201147.0,4.0
4663,strawberry wine,deana carter,0,3ODF56f90W3qxDqxHAUi3v,0.558,0.435,1.0,-6.812,1.0,0.0264,0.302,0.0,0.0351,0.199,122.385,290467.0,3.0
4664,she's in love with the boy,trisha yearwood,0,2ulBBx6YQ3qY3ci34RadtN,0.783,0.698,3.0,-8.268,1.0,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,248200.0,4.0
4665,put yourself in my shoes,clint black,0,2mqsQP9IIDbMIt6FGFkAEA,0.737,0.41,9.0,-11.088,1.0,0.0353,0.58,0.0,0.25,0.397,104.647,193093.0,4.0
4666,trashy women,confederate railroad,0,7EeTwuxEO4JXNbQP7nhrDB,0.639,0.795,9.0,-6.634,1.0,0.0344,0.0452,0.0,0.121,0.864,142.566,194800.0,4.0
4667,check yes or no,george strait,0,6iy4PoAuZBMvtrlDX4VxC7,0.708,0.524,5.0,-12.644,1.0,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,200667.0,4.0
4668,"honey, i'm home",shania twain,0,39IoZIC8eEirT1v70rqSPq,0.616,0.723,4.0,-6.451,1.0,0.0913,0.208,0.0,0.181,0.859,160.525,215200.0,4.0
4669,nobody wins,radney foster,0,2A9ERxDfT3sdShrDUtTnaS,0.66,0.696,7.0,-8.971,1.0,0.033,0.311,0.0,0.165,0.773,120.898,210747.0,4.0
4670,if i didn't have you,randy travis,0,52erNkfUKv34u02CjcHOPj,0.674,0.578,4.0,-10.919,1.0,0.0663,0.164,0.0,0.103,0.961,172.498,186747.0,4.0
4671,in a different light,doug stone,0,5O0GOy0L0zfDTPv9eIApkg,0.462,0.485,5.0,-7.533,1.0,0.0247,0.146,2.24e-06,0.0604,0.506,168.374,205733.0,4.0
4672,just to see you smile,tim mcgraw,0,2op0kDNARK2VHWHntEeH4g,0.492,0.823,6.0,-8.526,1.0,0.0297,0.127,0.0,0.0523,0.702,94.342,215173.0,4.0
4673,little bitty,alan jackson,0,2CBRlZtrYrhd8XXFFDSxAl,0.563,0.796,4.0,-7.604,1.0,0.0409,0.15,0.0,0.355,0.741,162.88,158080.0,4.0
4674,brand new man,brooks & dunn,0,001UkMQHw4zXfFNdKpwXAF,0.573,0.846,7.0,-4.866,1.0,0.0344,0.00372,7.87e-05,0.29,0.562,127.061,191053.0,4.0
4675,"live, laugh, love",clay walker,0,3Th5HBAlRZF0oN31ubxHA9,0.647,0.746,2.0,-10.597,1.0,0.0437,0.195,0.0,0.0271,0.946,98.991,246267.0,4.0
4676,busy man,billy ray cyrus,0,55bwRyNowFFB5Kp0Ojkvhx,0.6,0.568,7.0,-9.867,1.0,0.0388,0.106,0.0,0.238,0.475,163.887,197267.0,4.0
4677,should've been a cowboy,toby keith,0,18BajNiyvH6GpYshB0unrm,0.585,0.793,7.0,-3.713,1.0,0.0322,0.351,0.0,0.3,0.732,133.839,208413.0,4.0
4678,no one else on earth,wynonna,0,52PGtJuGEFNVOnRdLac1Av,0.775,0.861,0.0,-7.113,1.0,0.0295,0.188,4.2e-06,0.199,0.964,98.649,255400.0,4.0
4679,no doubt about it,neal mccoy,0,2iehL6Q3m5NUDanDT2IKwT,0.621,0.469,4.0,-10.438,1.0,0.0267,0.22,3.34e-05,0.067,0.511,144.665,227640.0,4.0
4680,tequila talkin',lonestar,0,0iwHQiur8NmRvosDlBil2i,0.699,0.543,9.0,-7.105,1.0,0.0231,0.152,1.33e-06,0.156,0.561,99.235,204627.0,4.0
4681,boot scootin' boogie,brooks & dunn,0,7Fq9RwQxSn3kW85PrDUf0M,0.656,0.817,11.0,-4.296,0.0,0.0435,0.22,0.0,0.306,0.862,130.446,198020.0,4.0
4682,hillbilly shoes,montgomery gentry,0,0kJeo33oWW6Nx4tkUNPshJ,0.655,0.837,7.0,-6.072,1.0,0.0355,0.0332,0.00223,0.111,0.708,115.938,192586.0,4.0
4683,gone country,alan jackson,0,1A0I5aiVZRwecRlbQcweBh,0.681,0.719,7.0,-5.918,1.0,0.0248,0.131,1.65e-06,0.113,0.637,125.729,259893.0,4.0
4684,i'm gonna be somebody - remastered,travis tritt,0,2Vgdge1IJBTdU3NItPa1dB,0.561,0.659,7.0,-6.701,1.0,0.0267,0.148,9.93e-06,0.106,0.554,76.49,245267.0,4.0
4685,honky tonk attitude,joe diffie,0,61uA8ZPtKuVp61iuOnPTDr,0.679,0.812,5.0,-6.549,1.0,0.0266,0.175,8.04e-06,0.1,0.775,140.467,228627.0,4.0
4686,bubba shot the jukebox,mark chesnutt,0,0PsBdKWnOQGMo9smobflvy,0.544,0.648,7.0,-8.454,1.0,0.0549,0.307,0.0,0.0843,0.866,165.484,185840.0,4.0
4687,you've got to stand for something,aaron tippin,0,7s2NbKcFIJuEQumhvtHTAD,0.533,0.585,4.0,-9.789,1.0,0.0337,0.199,0.0,0.11,0.472,83.403,182280.0,4.0
4688,how long gone,brooks & dunn,0,26uKnyjdjqlDFGwR4e7C8y,0.611,0.767,5.0,-4.569,1.0,0.026,0.0246,0.00182,0.401,0.736,113.962,219057.0,4.0
